"-- Please Select --","-- Por Favor Seleccione --"
"Columns","Columnas"
"Export","Exportar"
"Welcome to Payment Services","Bienvenido a Servicios de Pago"
"Amasty Request a Quote","Amasty - Solicitar Cotización"
"Amasty Cancel Orders","Amasty - Cancelar Pedidos"
"Cancel Orders Grid","Cancelar Pedidos"
"We couldn't find any records.","No pudimos encontrar ningún registro."
"Amasty notice: Please go to <a href=""%1"">Configuration</a> and register your instance to avoid unlicensed product usage.","Aviso de Amasty: vaya a <a href=""%1"">Configuración</a> y registre su instancia para evitar el uso del producto sin licencia."
"Please regenerate Pearl Theme LESS/CSS files from <a href=""%1"">Cache Management Section</a>","Regenere los archivos LESS/CSS del tema Pearl desde la <a href=""%1"">Sección de administración de caché</a>"
"System Messages:","Mensajes del Sistema:",module,Magento_AdminNotification
"Payment Restrictions","Restricciones de Pago"
"Shipping Restrictions","Restricciones de Envío"
"Braintree Virtual Terminal","Terminal Virtual de Braintree"
"Shipping Areas","Áreas de Envío"
"Carriers","Transportistas"
"Methods","Métodos"
"Store Views","Vistas de la tienda"
"Quote Date","Fecha de cotización"
"Expiry Date","Fecha de caducidad"
"Cancellation Reason","Motivo de cancelación"
"Canceled by","Cancelado por"
"Cancel Date","Fecha de cancelación"
"Quantity per Source","Cantidad por Fuente"
"Salable Quantity","Cantidad vendible"
"Last Updated At","Última actualización en"
"Active filters\\:","Filtros activos\\:"
"Category Name Rewrite","Reescritura del nombre de la categoría"
"Upload","Subir"
"Select from Gallery","Seleccionar de la Galería"
"Maximum file size","Tamaño máximo de archivo"
"Allowed file types","Tipos de Archivos Permitidos"
"Browse to find or drag image here","Busque o arrastre la imagen aquí"
"Edit with Page Builder","Editar con el Generador de Páginas"
"Drag Row, Columns, Tabs, Block, Dynamic Block or HTML Code here","Arrastre aquí filas, columnas, pestañas, bloques, bloques dinámicos o códigos HTML."
"Note: Keyboard shortcut to activate editor help : Alt + 0 (Windows) or ⌥0 (MacOS)","Nota: Atajo de teclado para activar la ayuda del editor: Alt + 0 (Windows) o ⌥0 (MacOS)"
"WeltPixel Options","Opciones de WeltPixel"
"Hide Page Title","Ocultar el título de la página"
"Hide Breadcrumbs","Ocultar migas de pan"
"Open Link In New Tab","Abrir enlace en una nueva pestaña"
"Custom Link","Enlace personalizado"
"1. Use 'http://' or 'https://' to create external link","1. Utilice ""http://"" o ""https://"" para crear un enlace externo"
"2. Use '/' to create link to home page","2. Use ""/"" para crear un enlace a la página de inicio"
"3. Use '#' to disable link","3. Use ""#"" para deshabilitar el enlace"
"Category Layout","Diseño de categorías"
